@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' gsp fan, hate nick diaz. cant wait february. ',negative,0,1,0
' sat movie harry ron christmas. ohlawd ',neutral,0,0,0
' davlar 11th. main rivals team poland. hopefully successful tough week training tomorrow. ',positive,2,0,0
' "happy valentines day" trending? 14th february 12th june smh.. ',objective,0,0,0
' superbowl dallas, dallas aint winning superbowl. quarterback owner. @s4nyc @rasmussenpoll ',negative,0,0,0
' #livewire nadal confirmed mexican open february: rafael nadal set play me... #livewireathletics ',objective,1,0,0
' men mad other, fight, it. women mad, will hold grudge lasts forever. ',positive,1,2,0
' #iran delisting mko global terrorists list iran campaign: tehran, oct 30, irna -- secretary... ',objective,0,0,0
' greatest ballers time ',neutral,1,0,0
' gm nvr4get stevens,smith,doherty,woods #benghazi @ljmljm55 @dj4jg @paverlayer @fsbull @revkahjc @dickstrash @borderfox116 @swedeng ',positive,0,0,0
' expect light-moderate rains e. visayas; cebu, bohol, samar & leyte 30-70% chance rains tonight! expect fair weather tomorrow!:) ',objective,1,0,0
' ticket left @49ers game tomorrow! dont rematch nfc championship game ny giants! hit up! ',positive,0,2,0
' saturday night consisted watching grey puppy parents throw rager #whaa #liamneesonisbosstho ',negative,0,1,0
' hard find @tvguidemagazine days? 3 stores castle cover issue. none. will search tomorrow... ',negative,1,1,0
' @iswagx22 2 games hornets heat ',neutral,0,0,0
' start working dreams goals tomorrow......tomorrow comes....if u, now! #getafterit ',positive,1,0,0
' watching #rhom ?? :) ',positive,0,0,0
' andy android fun yesterday. ',positive,1,0,0
' indio cv tomorrow bell game. enough.!! ',positive,0,0,0
' @melmurmel @pbandjenelley_1 @vl_delp_ham_ jenelle lies,1st &the hosp.now weird keiffers ',negative,0,1,0
' rumor goin vote, ima yall ',negative,0,1,0
' @tantrak going hong kong time mama nov 30. live ',positive,1,0,0
' happy 20th mr. president! nick forever chain. ',positive,1,0,0
' cmon avila! tagged guy kid bill murray researching royal tenenbaums! #tigers ',neutral,1,0,0
' @lovemccurdyjenn is!â™¥ ',positive,0,0,0
' good morning thursday. "life fragile. guaranteed tomorrow youve got." - tim cook [do jobs!] ',positive,1,0,0
' #broncos peyton manning named afc offensive player month. 5th honor, second tom bradys 6, tied w/ td. ',neutral,0,1,1
' @jackseymour11 android phone time school! :) ',positive,0,0,0
' homegrown talent missing signing day: day wednesday, video scoreboard ... #raleigh ',negative,1,0,0
' taylor swift coming sheeran june 29th? perf news ive heard night. ',positive,1,0,0
' great noel gallagher hit stage st. paul. plenty room 4th row center. plenty room. pretty fired ',positive,4,0,0
' hope promoted & dont tail season. piss southern media off. hello & #boro. shithole ',objective,1,0,0
' playing browns hc k. fri #madden13, xfacalac lost ravens 21-28 all-madden #connectedcareers ',neutral,0,1,0
' #cfc @juanmata10 best premier league! ea sports player performance score: 217. (1st place) #matamagic ',positive,2,0,1
' ohhh nairobi leggings ðÿ˜?ðÿ˜?ðÿ˜? ',negative,0,0,0
' pain deeper billy cundiff missed field goal. gotta wake forget tomorrow. #orioles #stayhungry ',neutral,0,2,0
' @grandvincenzo november 16 ready head movies. breaking dawn: 2. (; ',positive,1,0,0
' tomorrow consist watching will ferrell films fave people chinese food, sweet. ',positive,1,0,0
' alex poythress 11 points 7 rebounds debut kentucky exhibition game thursday. played 28 minutes. ',objective,0,1,0
' heart attack jason wus collection. charlotte rampling night ',positive,1,1,0
' amazing concert tonight jim white tcu jazz ensemble/faculty jazz combo! dont tomorrow night... ',positive,2,0,0
' #nationals 9th inning "4th quarter #redskins" feel, didnt it? coulda swore cundiff shank mound. ',neutral,0,1,0
' capello time russia win big match: russia manager fabio capello thursday intended to... ',positive,0,0,1
' jackals goal! jimmy martin sneaks rebound killeen elmira 2-1 lead. bushee & bellamy assists.1:09 left 2nd period ',neutral,0,0,0
' kick-off weekend service! ev!s bus trip boys & girls club friday 3-6! hope :) ',positive,1,0,0
' "@paperchasinal: damn saturday tho" niggas trynna shit #early ',negative,0,1,0
' blog post: mtvs "teen mom 2" returns intense third season chelsea, jenelle, kailyn leah monday,... ',objective,0,0,1
' @elifyk1 elif greetings usa midwest school going? happy turkish republic day! cant wait nov 8 #newglee yes! ',positive,1,0,0
' hoping fit tomorrow jeremy kyle #itvfashion ',positive,1,0,0
' grammys concert pays moving tribute whitney houston: whitney houston final sendoff grammys thursday halle... ',positive,2,0,0
' tallied votes announcing winners calling communities! tune nov 1st 11am (cst) ',neutral,1,0,0
' halloween second worst holiday, valentines day ',negative,0,1,0
' piece candy injected something. #why ',negative,0,0,0
' managed "lose" princess leia bra saturday. going noel gallagher "glock phish" jorts&tank. @custymcnoob ',neutral,0,0,0
' child friendly apps ipad child friendly well ;) ',neutral,3,0,0
' moments night cant halloween, ordinary night camden #drinkup ',neutral,0,0,0
' ready shop collection h&m tomorrow?? grey concept h&m #fashion #shopping #highstreet ',neutral,1,0,0
' faq: skeuomorphic design executive shakeup apple: san francisco, - march 07: apple ceo ... ',objective,0,0,0
' um learned sunday national chocolate day. totally advantage that. ',positive,2,0,0
' noel gallagher: "musicians fucking idiots." - yeah, brian - idiot... idiot professor? ',negative,0,1,0
' @hope_forhippies hell yea lmfaoo , & tomorrow asia baby (; ',positive,0,1,1
' @real_liam_payne wanted argentina going directioner fest 10 november te amo te amo te amo! ',neutral,0,0,0
' november already.. christmas will soon, year, valentines day graduation?!?! ',neutral,1,0,0
' niggas lakers dick...we gon finish damn seed...while yo team struggling 8th spot ',negative,0,2,0
' yepâ˜º strong man. 81 october rt "@stevenb7777: @reditlhabi wrong dts moral compass, at, what, 82..." ',positive,2,1,0
' tickets muse florida. that, combined grammys weeks prior, equals busy february ruby myself. ',objective,0,1,0
' battle 17th banner: royal rumble basketball edition ',objective,0,1,0
